Fighter 1,Fighter 1 KD,Fighter 1 Sig STR,Fighter 1 Sig Str Percent,Fighter 1 TD,Fighter 1 TD Percent,Fighter 1 Sub AttemptFighter 1 Rev,Fighter 1 Control,Fighter 1 Significant Head Strikes,Fighter 1 Significant Body Strikes,Fighter 1 Significant Leg Strikes,Fight 1 Significatn Distane Strikes,Fighter 1 Significant Clinch Strikes,Fighter 1 Significant Ground Strikes,Fighter 2,Fighter 2 KD,Fighter 2 Sig STR,Fighter 2 Sig Str Percent,Fighter 2 TD,Fighter 2 TD Percent,Fighter 2 Sub AttemptFighter 2 Rev,Fighter 2 Control,Fighter 2 Significant Head Strikes,Fighter 2 Significant Body Strikes,Fighter 2 Significant Leg Strikes,Fight 2 Significatn Distane Strikes,Fighter 2 Significant Clinch Strikes,Fighter 2 Significant Ground Strikes
Robert Bryczek,0,32 of 133,24%,41 of 143,0 of 0,---,0,0,0:30,19 of 103,10 of 24,3 of 6,30 of 127,2 of 6,0 of 0,Ihor Potieria,1,67 of 168,67 of 168,39%,77 of 181,0 of 4,0%,0,0,2:37,47 of 139,5 of 12,15 of 17,61 of 156,6 of 12,0 of 0
Brad Tavares,0,37 of 84,44%,42 of 90,0 of 0,---,0,0,0:00,28 of 70,4 of 9,5 of 5,36 of 83,1 of 1,0 of 0,Gregory Rodrigues,0,71 of 123,71 of 123,57%,79 of 135,2 of 6,33%,0,0,3:18,53 of 102,8 of 9,10 of 12,64 of 114,7 of 9,0 of 0
Michael Johnson,0,61 of 112,54%,80 of 138,4 of 8,50%,0,0,6:02,16 of 47,36 of 52,9 of 13,58 of 109,0 of 0,3 of 3,Darrius Flowers,0,33 of 64,33 of 64,51%,52 of 86,0 of 2,0%,0,0,0:43,10 of 31,9 of 12,14 of 21,29 of 60,1 of 1,3 of 3
Rodolfo Vieira,0,6 of 11,54%,14 of 21,3 of 3,100%,1,0,2:46,4 of 6,0 of 2,2 of 3,6 of 11,0 of 0,0 of 0,Armen Petrosyan,0,9 of 20,9 of 20,45%,14 of 25,0 of 0,---,0,0,0:00,1 of 10,1 of 3,7 of 7,9 of 20,0 of 0,0 of 0
Trevin Giles,0,68 of 102,66%,70 of 105,0 of 2,0%,0,0,1:28,25 of 51,2 of 2,41 of 49,67 of 100,1 of 2,0 of 0,Carlos Prates,1,37 of 72,37 of 72,51%,38 of 73,0 of 0,---,0,0,0:00,3 of 24,18 of 26,16 of 22,37 of 72,0 of 0,0 of 0
Bolaji Oki,0,60 of 152,39%,61 of 157,1 of 1,100%,0,0,1:49,51 of 139,5 of 8,4 of 5,58 of 145,1 of 4,1 of 3,Timmy Cuamba,0,33 of 94,33 of 94,35%,35 of 96,1 of 6,16%,0,0,1:55,20 of 67,8 of 14,5 of 13,26 of 86,5 of 6,2 of 2
Loma Lookboonmee,0,58 of 112,51%,73 of 131,1 of 2,50%,0,0,0:55,15 of 52,29 of 38,14 of 22,47 of 98,11 of 14,0 of 0,Bruna Brasil,0,28 of 63,28 of 63,44%,52 of 99,1 of 2,50%,0,0,2:29,9 of 39,12 of 16,7 of 8,22 of 55,6 of 8,0 of 0
Devin Clark,0,53 of 127,41%,53 of 127,0 of 2,0%,0,0,0:14,36 of 106,13 of 16,4 of 5,49 of 120,4 of 7,0 of 0,Marcin Prachnio,0,101 of 189,101 of 189,53%,112 of 204,1 of 1,100%,0,0,0:44,42 of 113,37 of 51,22 of 25,78 of 156,23 of 33,0 of 0
Max Griffin,0,26 of 53,49%,36 of 65,1 of 2,50%,0,0,1:40,21 of 48,4 of 4,1 of 1,24 of 51,2 of 2,0 of 0,Jeremiah Wells,0,32 of 86,32 of 86,37%,43 of 97,1 of 2,50%,0,0,1:40,27 of 76,5 of 7,0 of 3,32 of 85,0 of 1,0 of 0
Zac Pauga,0,17 of 26,65%,19 of 28,0 of 2,0%,0,0,1:04,7 of 13,2 of 5,8 of 8,14 of 22,3 of 4,0 of 0,Bogdan Guskov,1,10 of 29,10 of 29,34%,25 of 44,0 of 0,---,0,0,0:04,10 of 29,0 of 0,0 of 0,10 of 29,0 of 0,0 of 0
Roman Dolidze,0,34 of 152,22%,59 of 190,0 of 4,0%,0,1,10:11,14 of 113,8 of 13,12 of 26,32 of 145,2 of 7,0 of 0,Nassourdine Imavov,1,112 of 189,112 of 189,59%,154 of 248,0 of 0,---,1,0,3:52,71 of 132,24 of 38,17 of 19,67 of 129,13 of 16,32 of 44
Renato Moicano,0,23 of 42,54%,142 of 177,3 of 6,50%,0,0,10:33,20 of 39,2 of 2,1 of 1,10 of 27,1 of 2,12 of 13,Drew Dober,0,23 of 59,23 of 59,38%,36 of 73,1 of 2,50%,0,0,1:02,17 of 50,4 of 7,2 of 2,19 of 52,1 of 1,3 of 6
Randy Brown,1,13 of 46,28%,13 of 46,0 of 0,---,0,0,0:03,6 of 33,1 of 5,6 of 8,12 of 45,0 of 0,1 of 1,Muslim Salikhov,0,10 of 22,10 of 22,45%,10 of 22,0 of 0,---,0,0,0:00,0 of 9,1 of 2,9 of 11,10 of 22,0 of 0,0 of 0
Viviane Araujo,0,26 of 67,38%,63 of 110,1 of 9,11%,0,0,6:01,20 of 58,1 of 3,5 of 6,25 of 66,1 of 1,0 of 0,Natalia Silva,0,38 of 128,38 of 128,29%,65 of 157,0 of 1,0%,0,0,0:00,24 of 103,8 of 16,6 of 9,38 of 128,0 of 0,0 of 0
Aliaskhab Khizriev,0,1 of 2,50%,1 of 2,0 of 0,---,0,0,0:00,0 of 1,1 of 1,0 of 0,1 of 2,0 of 0,0 of 0,Makhmud Muradov,0,1 of 1,1 of 1,100%,1 of 1,0 of 0,---,0,0,0:00,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,0 of 0
Gilbert Urbina,0,16 of 38,42%,16 of 38,0 of 1,0%,0,0,0:05,4 of 17,6 of 10,6 of 11,16 of 38,0 of 0,0 of 0,Charles Radtke,2,30 of 47,30 of 47,63%,33 of 51,0 of 0,---,0,0,0:08,23 of 40,0 of 0,7 of 7,27 of 43,0 of 0,3 of 4
Molly McCann,0,42 of 91,46%,43 of 92,2 of 2,100%,1,0,1:08,27 of 71,14 of 19,1 of 1,34 of 76,2 of 4,6 of 11,Diana Belbita,0,29 of 77,29 of 77,37%,29 of 77,0 of 0,---,0,0,0:00,9 of 46,13 of 23,7 of 8,24 of 72,5 of 5,0 of 0
Azat Maksum,1,38 of 163,23%,40 of 166,2 of 7,28%,1,1,2:29,25 of 142,6 of 11,7 of 10,36 of 160,2 of 3,0 of 0,Charles Johnson,0,76 of 140,76 of 140,54%,81 of 149,2 of 6,33%,3,0,0:47,29 of 76,20 of 27,27 of 37,66 of 127,7 of 9,3 of 4
Themba Gorimbo,1,12 of 18,66%,12 of 18,0 of 1,0%,0,0,0:05,10 of 16,1 of 1,1 of 1,3 of 6,2 of 2,7 of 10,Pete Rodriguez,0,0 of 5,0 of 5,0%,0 of 5,0 of 0,---,0,0,0:00,0 of 3,0 of 1,0 of 1,0 of 5,0 of 0,0 of 0
JeongYeong Lee,0,49 of 82,59%,75 of 121,2 of 3,66%,0,0,4:29,33 of 62,14 of 18,2 of 2,21 of 40,11 of 11,17 of 31,Blake Bilder,0,19 of 54,19 of 54,35%,36 of 77,0 of 3,0%,0,0,5:18,3 of 27,2 of 5,14 of 22,8 of 40,10 of 13,1 of 1
Luana Carolina,0,66 of 136,48%,138 of 230,2 of 3,66%,0,0,5:27,41 of 96,15 of 26,10 of 14,28 of 75,13 of 20,25 of 41,Julija Stoliarenko,0,16 of 59,16 of 59,27%,21 of 68,1 of 5,20%,3,0,3:47,7 of 40,6 of 10,3 of 9,11 of 51,5 of 8,0 of 0
